Id,Depth,Diameter,Angle,ThicknessSkin,ThicknessSct,ThicknessAponeurosis,ThicknessLooseAreolarTissue,ThicknessSkullOuter,ThicknessSkullDiploe,ThicknessSkullInner,ThicknessCsf,ConductivitySkin,ConductivitySct,ConductivityAponeurosis,ConductivityLooseAreolarTissue,ConductivitySkullCortical,ConductivitySkullDiploe,ConductivityCsf,AfPeak,aAfPeak,res,ares,nres,anres
86,-0.166896,0.0655083,-0.963245,-0.101283,-0.272049,0.153436,1.44493,-0.192552,-0.200019,-0.331001,0.13249,-0.201248,-0.216806,0.11429,0.275266,-0.156408,0.206444,0.162277,247.49,247.49,-53.2192,53.2192,-0.715656,0.715656
71,0.230331,0.260164,0.796578,-0.278484,0.0159467,0.0481433,-0.228223,-0.283862,-0.253622,0.304052,0.0586394,-0.236354,0.101175,0.13593,-0.252261,-0.272841,0.0141708,0.274723,136.606,136.606,53.021,53.021,0.712991,0.712991
59,0.270435,-0.0501309,-0.88481,0.0717488,-0.0914548,-0.197104,-1.21197,-0.112903,-0.00733621,-0.335291,0.324649,-0.161636,0.252396,-0.327834,-0.190201,0.324167,-0.294601,-0.207401,285.286,285.286,51.8515,51.8515,0.697264,0.697264
46,0.217727,0.239417,-0.911381,-0.331186,0.12082,-0.0882138,0.209875,0.130567,0.0491003,-0.287377,-0.00674455,0.293713,-0.270303,-0.0129363,0.142551,0.197641,-0.186003,-0.259901,308.622,308.622,-47.3533,47.3533,-0.636775,0.636775
82,0.0162118,0.198797,1.73071,0.119578,0.15133,0.0363499,-1.72207,0.263262,-0.27576,-0.00610751,0.15827,-0.187535,0.125891,-0.0288131,-0.236765,0.301688,-0.170005,0.279397,277.339,277.339,-46.3822,46.3822,-0.623717,0.623717
84,0.063826,0.0116855,-0.117801,0.124582,0.283961,-0.123079,1.63636,0.0633986,-0.0197987,-0.118188,-0.186764,0.136215,-0.182379,-0.335117,0.27941,-0.109729,-0.144064,0.0712466,240.46,240.46,43.8473,43.8473,0.589629,0.589629
23,0.14461,-0.101552,-1.48407,-0.251562,-0.139378,0.317708,-0.501765,-0.307439,-0.318371,0.1795,-0.237197,-0.126486,0.17603,-0.298487,0.124194,0.0262351,-0.154318,0.0561859,313.465,313.465,42.1068,42.1068,0.566224,0.566224
1,0.126532,-0.168869,1.37369,-0.156122,-0.11874,0.00996992,-1.22967,0.209589,-0.194181,0.161512,-0.0564812,0.254551,-0.329417,-0.284427,-0.0612017,-0.217031,-0.282198,0.138938,264.924,264.924,40.9629,40.9629,0.550842,0.550842
50,0.256517,0.282486,0.605462,-0.0120637,-0.157877,-0.0567751,0.957345,0.229996,0.26373,-0.0799795,-0.333286,0.240762,0.190463,0.153232,-0.155454,0.0765393,0.0374095,-0.0250313,443.935,443.935,-40.9105,40.9105,-0.550137,0.550137
95,-0.312437,-0.160959,0.873703,0.151058,0.197311,0.219403,-0.161897,0.0320843,-0.205807,0.0279971,-0.25706,-0.327405,-0.0298595,-0.183398,-0.119835,-0.226618,-0.12756,0.0166178,335.285,335.285,-40.1517,40.1517,-0.539934,0.539934
36,0.216446,-0.0994543,1.21167,0.16705,-0.214198,-0.295015,0.537275,0.255338,-0.32789,0.0487883,-0.105818,-0.0596716,0.233653,0.036918,0.0215662,-0.0725839,0.2284,0.11146,360.549,360.549,39.6689,39.6689,0.533441,0.533441
40,0.118711,-0.113523,1.56569,0.322612,-0.0111521,0.270605,0.3482,-0.180656,-0.278933,-0.108169,-0.108988,0.178205,0.0435451,0.0929112,0.314614,-0.249295,-0.102236,0.312272,404.846,404.846,-38.6246,38.6246,-0.519398,0.519398
80,-0.300298,0.192267,-1.20364,0.28779,0.202944,0.281223,1.66751,0.169945,0.0705944,0.0435089,0.0454518,0.271148,-0.0765187,-0.245946,-0.332732,-0.189567,-0.274659,0.123515,174.061,174.061,37.4218,37.4218,0.503223,0.503223
100,0.131662,-0.320447,1.30146,0.257545,0.0855728,-0.304912,0.66319,-0.215141,0.252096,-0.0297053,-0.0950071,-0.277035,-0.0968551,-0.204074,-0.170524,0.0678225,0.266928,0.20458,620.97,620.97,36.5761,36.5761,0.491851,0.491851
38,-0.118376,-0.0263325,-1.42148,-0.225237,-0.20237,-0.236239,-1.66952,-0.00441731,-0.128368,0.194694,0.140914,-0.104867,-0.225651,-0.117729,-0.243842,-0.308634,0.0083523,0.291542,184.054,184.054,35.5264,35.5264,0.477736,0.477736
65,-0.128166,0.220191,-0.731651,0.297914,0.0523962,0.254492,0.588865,-0.333205,-0.287115,-0.275657,0.218342,0.109124,-0.0200614,0.0660276,-0.301703,-0.0552479,0.315204,0.16802,277.104,277.104,-35.3162,35.3162,-0.474908,0.474908
