Id,Interface,Depth,Diameter,Angle,ThicknessSkin,ThicknessSct,ThicknessAponeurosis,ThicknessLooseAreolarTissue,ThicknessSkullOuter,ThicknessSkullDiploe,ThicknessSkullInner,ThicknessCsf,ConductivitySkin,ConductivitySct,ConductivityAponeurosis,ConductivityLooseAreolarTissue,ConductivitySkullCortical,ConductivitySkullDiploe,ConductivityCsf,AfPeak
26,INTERFACE,0.0347611,0.0431736,-1.48398,0.309487,0.14994,-0.146226,0.424361,0.223544,0.0634498,0.0751503,-0.0104241,0.195683,0.188798,-0.0876461,0.0917716,0.24826,-0.00576413,-0.0996837,167.278
27,INTERFACE,-0.108899,0.33321,-1.26024,0.099657,-0.304968,0.23896,0.362972,-0.162432,-0.017475,0.0659961,-0.234286,0.10099,0.271268,-0.161132,-0.152173,-0.179184,0.261249,-0.184077,180.339
28,INTERFACE,0.334652,0.125013,-0.150206,0.334922,-0.0276352,0.180685,0.850789,0.158673,0.261376,0.320155,-0.240591,-0.0895424,0.277918,0.217782,-0.265004,-0.18617,-0.233754,0.293861,168.818
29,INTERFACE,-0.316728,-0.122454,-0.426321,-0.0346415,-0.0125107,-0.114861,-1.52534,-0.261146,0.159325,-0.26983,0.311251,-0.00706776,0.191068,0.314737,-0.275969,-0.141368,0.164001,0.336417,409.442
30,INTERFACE,0.0938142,0.276635,0.50152,0.0281053,-0.0312468,-0.0762194,1.6904,0.0569803,0.0759952,0.100378,-0.131972,0.103879,-0.0967675,0.104085,0.00337412,0.0842839,-0.2554,-0.242049,212.057
31,INTERFACE,-0.120444,0.157553,-1.33949,0.161213,-0.0918068,0.0467035,0.831385,-0.19504,-0.315478,-0.0644935,0.159599,-0.0805911,-0.306147,0.0445669,0.0480975,-0.26469,0.252319,-0.166725,140.497
32,INTERFACE,-0.148956,0.201304,0.465163,-0.0581616,0.172983,-0.0169788,1.14883,-0.337182,0.239732,0.157026,-0.245646,-0.134785,0.0384132,-0.218204,-0.0767735,-0.252034,-0.0977941,-0.01888,182.443
33,INTERFACE,-0.00230341,-0.075238,1.3731,0.269466,-0.190215,-0.0704182,-1.60139,0.252279,0.162827,-0.266909,0.281902,-0.16576,0.137405,0.180863,0.0777519,-0.172519,-0.173479,0.0839104,652.524
34,INTERFACE,0.150422,-0.101423,-0.630346,0.0531193,-0.232601,0.168897,-0.751403,-0.180121,-0.327217,0.261069,-0.311214,0.205226,0.0500265,0.154896,-0.269014,0.133472,-0.0229768,0.328494,784.592
35,INTERFACE,0.2842,-0.0954598,-1.08171,-0.275972,-0.0989572,0.163429,-1.09513,0.00222784,-0.0458535,-0.0123459,0.26832,-0.20338,0.0147128,0.282604,0.158313,-0.322994,-0.0127736,0.330434,796.207
36,INTERFACE,0.0211683,-0.308651,-1.33022,-0.0410055,0.121383,0.250503,-1.0252,0.283191,0.100086,-0.23701,0.184807,0.305571,-0.303196,-0.259604,0.200475,0.0303665,-0.26796,0.0346022,526.333
37,INTERFACE,-0.110675,0.299029,0.497557,-0.0921443,0.181956,0.180296,1.41076,0.218025,-0.205534,-0.307769,-0.14679,0.126541,0.326359,-0.196711,-0.172972,0.0014954,-0.234917,0.339872,128.201
38,INTERFACE,0.226529,0.0704125,-1.64934,0.224023,0.26922,-0.253034,-0.496201,0.0389567,0.041692,-0.253521,-0.304994,-0.279402,-0.235193,0.249998,-0.082337,0.0459481,0.251284,-0.0973539,258.987
39,INTERFACE,-0.066172,0.0726329,-1.02332,0.305702,0.158103,-0.0251949,1.70656,-0.063779,-0.325478,0.00196833,0.262901,0.0661251,0.157802,-0.0637147,-0.303955,-0.265496,-0.30907,-0.116209,92.1445
40,INTERFACE,-0.258599,-0.0416712,0.599189,0.126638,0.274486,-0.205514,-0.435944,-0.152546,0.335098,0.190907,-0.0577882,-0.190208,-0.308831,0.25645,0.0644565,-0.018222,-0.334369,0.304361,143.366
41,INTERFACE,-0.077983,-0.328849,-0.0069878,-0.202609,-0.174861,0.321446,0.345113,-0.0320958,-0.329439,-0.247874,0.012887,0.29348,-0.177915,0.228881,-0.222663,0.126552,0.320739,-0.195748,396.499
42,INTERFACE,-0.244906,0.290407,0.745766,0.201057,-0.172967,0.192803,-0.635567,-0.251045,-0.0465859,0.144178,0.278083,-0.0701888,-0.325979,0.248462,0.081854,0.0259765,-0.0958202,-0.205307,137.558
43,INTERFACE,0.00409605,-0.335672,1.419,-0.138509,-0.0495782,0.263822,-0.361377,0.326636,-0.199733,0.171142,0.215766,0.288139,0.0123982,-0.0384589,-0.175485,0.236559,-0.218735,-0.213079,564.317
44,INTERFACE,0.244292,-0.0312541,-1.66326,0.129131,-0.0459473,0.0899249,-1.43814,0.203851,-0.113408,-0.196114,-0.203838,-0.0632324,-0.138254,-0.207627,-0.135986,-0.164671,0.295549,-0.0446584,738.52
45,INTERFACE,0.106128,0.122476,0.564104,-0.0402329,0.21926,-0.282546,-1.0489,0.100818,0.0844813,0.0317761,-0.338262,-0.153672,-0.0921671,0.243091,-0.101661,-0.19178,0.0341339,-0.270842,300.992
46,INTERFACE,0.304047,-0.306195,-0.31163,-0.0948183,0.299154,0.168169,0.619272,-0.0923247,-0.0369763,0.167717,-0.141246,-0.0534999,0.0937763,0.22948,0.0182084,-0.0140608,0.216876,0.0465241,226.129
47,INTERFACE,-0.179127,-0.220518,0.859036,0.080307,0.202249,-0.151871,0.263813,0.273745,0.243156,0.0958651,-0.0416955,0.18481,-0.273957,-0.175391,0.285905,-0.194386,-0.194351,0.307319,204.698
