%eval_id DEPTH DIAMETER ANGLE THICKNESS_SKIN THICKNESS_SCT THICKNESS_APONEUROSIS THICKNESS_LOOSE_AREOLAR_TISSUE THICKNESS_SKULL_OUTER THICKNESS_SKULL_DIPLOE THICKNESS_SKULL_INNER THICKNESS_CSF CONDUCTIVITY_SKIN CONDUCTIVITY_SCT CONDUCTIVITY_APONEUROSIS CONDUCTIVITY_LOOSE_AREOLAR_TISSUE CONDUCTIVITY_SKULL_CORTICAL CONDUCTIVITY_SKULL_DIPLOE CONDUCTIVITY_CSF -AFpeak
1 1.2221879210718907 0.9745980133684353 66.7615480850218 0.6147961821758746 0.48537150151547037 0.280976714894427 0.3386746952000144 2.075334814023227 2.3381161439325657 1.2349334783246741 2.8652253130311145 0.200678396862018 0.16319831440676216 0.11699777218714007 0.03970597729283115 0.008354658993337108 0.08976936874559574 1.689141227314848 264.9242543590948
2 0.6715881535317749 0.2790669566949364 1.7749018068658189 0.600534070611559 1.2727187395414428 0.1788901428538002 1.1142812086917857 1.0115409592119977 3.689802459827624 2.412940072212368 3.1212634378578517 0.21292395241059414 0.1841366878009497 0.06192519918142648 0.05888239281603033 0.007882031257339118 0.048349617981449065 2.8276633339141473 139.31006941004097
3 1.3592954593431206 0.5340629671262578 44.94027272660751 0.5378893264208361 0.43524231261774887 0.3586827090031095 0.9582875800791057 2.269779633255675 2.6287972828838977 0.905424806200899 3.905780510343611 0.1954542149366372 0.03208244807517688 0.11596922337124542 0.08976897089759503 0.010152465085568647 0.20482684823642214 1.5701746368309435 411.9345849896908
4 1.4204332406423055 0.2540669872534927 13.134504141658544 0.6527852069864422 0.8103957056306766 0.42135099386863406 0.7587537898369391 1.3825084381503985 2.2139841412985697 1.0659736409923062 2.9607741566235197 0.22460791109692796 0.23274154350309811 0.11409393396191564 0.08938739730321572 0.009650203034209616 0.016709890060540477 1.0014653638413498 386.30623466784357
5 1.4326262609311382 0.9645140407581348 59.05985321667977 0.5279097829322145 1.0168766490614412 0.20794683880082332 0.6960712662626803 1.4434565643733368 3.0825066321808845 0.9935939059499651 3.894262208631262 0.06422677842051824 0.02052574512871702 0.11192589398989305 0.11918182981510464 0.005639065949571071 0.10341481762474769 2.69178619265265 284.18078547248274
6 0.6480187217402272 0.21511471719713884 79.27629646032584 0.3445803049350158 0.5445999510182997 0.1250580710677523 0.06235543790009106 2.3676808118028565 3.723613803680055 1.4670693366788328 3.836756028742529 0.12757871214650207 0.14711809830427358 0.06981297332825238 0.07216521363953056 0.003911703321869053 0.011232316073677884 0.9124250020172041 1514.1182345651323
7 1.0353814783203417 0.4251154843124096 32.13999980720691 0.37317383806589993 0.46572387863896775 0.34687020287352616 0.7618225879550795 0.9097138776630165 3.4885041837347672 2.109679107712582 4.402257826253772 0.1554391859573399 0.21963815960938565 0.12571247707644057 0.051780128497583365 0.004542405670396096 0.0066275518134164555 1.1521325878443105 337.4125149483195
8 0.7837025075918064 0.4389539020939265 33.42094726231881 0.446829417536296 1.1393652845726998 0.09765873120331205 0.387279722853445 2.646920493748039 1.9453315232368185 1.0040643039252608 2.998668297738768 0.1203536705786811 0.2517125068787905 0.09965825197501132 0.11518543473653253 0.0065395281658943896 0.33833921510582476 2.198422336776376 292.35129165307166
9 1.1243617341993377 0.988024795665173 84.72819183531684 0.586196258974038 0.7981392040528169 0.16914029590381308 0.15786148254763568 1.834776399829425 2.827203977513127 2.1589343977347015 2.8344755773432557 0.09729474038579825 0.19053528717012452 0.04356492876809864 0.10494265270809745 0.0020479602760132528 0.03509725282744633 2.4000635204563663 246.98440913380176
10 0.5877997580519877 0.8481864881978837 47.1016571943881 0.6000735373340174 1.3912529513213687 0.23058769989451394 0.45779145383746134 0.8894757781596856 2.3968372288765383 0.6761186612257734 2.715861700749956 0.16801882862618062 0.11358277685232254 0.05251538599905016 0.0433764657761386 0.00862163464063954 0.21783716819445148 2.661866098317836 222.81381818805963
11 1.2581352893239819 0.9328319037707988 55.463294777716506 0.5433014177332446 1.4775343848988598 0.046237602299712584 1.2517040426585475 1.4506650221254678 2.515666849431582 1.0533405211847275 3.378531308993697 0.21900092350456224 0.13048924559876987 0.055345313171968835 0.08368330486425066 0.006602682181313534 0.13125335092762133 1.3425280426037933 192.4359937698701
12 1.207045813065488 0.6842637826993596 14.50265912662726 0.6364478813321888 1.3601423695103356 0.2589240150120761 1.210467539422384 2.754519910542294 3.811024840720929 1.036814413801767 4.4332749083684755 0.1299644480876769 0.09229468883942539 0.047240121482578265 0.060185949379827054 0.00574565408049738 0.3098141947130478 2.2812211883484608 137.94635902594268
13 0.8344266265514307 0.523104688673513 50.01523634882178 0.7161862564432622 0.3535697359883132 0.3417458877624571 0.18690108524142302 1.1293518296582625 3.3059374231146648 2.0720285043213518 4.311330982400104 0.22951540378857485 0.19526585390656448 0.0820209363618247 0.05038936752998269 0.005849569381243451 0.17455474196918752 2.09073761745696 431.2028722270796
14 0.5443772773724049 0.6897839793572202 30.15265163120348 0.48947576905973256 0.6065027671532145 0.18426829778016543 0.4468318721514917 1.1341507455846296 2.5474321662122383 1.700792224300094 3.4837668616045265 0.16231960359161957 0.15211095943749417 0.058716744795634636 0.08817862730586139 0.006131917598802424 0.16120793688181995 0.7672134914907445 269.4150937274185
15 1.1870426096767188 0.3252323277103715 80.68877641106957 0.41416464141160253 0.7115948396413027 0.2530145850359369 0.20402893581050216 2.449889631639235 2.2633117231260984 1.916226984797977 3.4335094676818696 0.21215901690385708 0.002281694667756482 0.03991999194596201 0.0707303093605394 0.0032101670767187107 0.029057416095838423 2.4380973381729043 2032.4339856384906
16 0.6887593263993039 0.16329114411165938 74.61058375693392 0.5097392331770063 1.4654723077740983 0.3099979200873803 0.9465164541740972 1.9705716648837552 2.9092792480438945 2.1269095811108127 4.519314593872987 0.07148657969030801 0.03760931990484931 0.07891375466104608 0.09078635389296076 0.011477978978065457 0.11097916702468366 2.5810519529204434 353.24801397746086
17 0.7671270202309824 0.3704848631771747 25.14372544856742 0.555133862018548 0.6929113091203104 0.15622394527767786 0.8930262305921596 1.9061881280690434 3.6410921173309903 0.6851659299666062 4.36089537830092 0.10108163172771899 0.014631027072603423 0.08493765163089027 0.10014743156799168 0.007828873475927237 0.0021129952184135185 2.7975183009902493 229.72641910055785
18 1.4543015136313626 0.5068662561969831 45.13625573955942 0.42353249002154914 0.32014751492547794 0.2504350170393195 0.6547780757704075 1.5748854442825542 3.43380143513903 2.3557679138891396 3.320841459403746 0.21498944735419 0.0071492952116126805 0.0792556220999987 0.10216047329547058 0.008984871289253871 0.28307150357378313 1.0904637017226375 579.2007172737467
